"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2023","2303 DTorres","2301 East Retta Environmental Assessment.aprx",".aprx","arcgis_project","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\2301 East Retta Environmental Assessment.aprx","18.9","2023-02-07","unknown","","","","no","",""
"2023","2303 DTorres","2301 East Retta Environmental Assessment.atbx",".atbx","arcgis_project","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\2301 East Retta Environmental Assessment.atbx","0.4","2023-02-07","unknown","","","","no","",""
"2023","2303 DTorres","Parcels.shp",".shp","vector","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\GIS Data\Parcels (2)\Parcels.shp","84686.4","2023-02-07","duediligence","","","","no","",""
"2023","2304 JBurkhardt","CG2304 Opsrey Circle.aprx",".aprx","arcgis_project","Z:\2023\2304 JBurkhardt\CG2304 Opsrey Circle\CG2304 Opsrey Circle.aprx","627.9","2023-03-20","unknown","","","","no","",""
"2023","2304 JBurkhardt","CG2304 Opsrey Circle.atbx",".atbx","arcgis_project","Z:\2023\2304 JBurkhardt\CG2304 Opsrey Circle\CG2304 Opsrey Circle.atbx","0.4","2023-03-03","unknown","","","","no","",""
"2023","2306 SMcIntosh","1808 9th Ave Tree Replianting.aprx",".aprx","arcgis_project","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\1808 9th Ave Tree Replianting.aprx","492.7","2023-03-06","treesurvey","","","","no","",""
"2023","2306 SMcIntosh","1808 9th Ave Tree Replianting.atbx",".atbx","arcgis_project","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\1808 9th Ave Tree Replianting.atbx","0.4","2023-02-27","treesurvey","","","","no","",""
"2023","2306 SMcIntosh","Parcels.shp",".shp","vector","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\GIS Data\Parcels (5)\Parcels.shp","84718.6","2023-02-23","duediligence","","","","no","",""
"2023","2308 SWoolley","Property Boundary.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Property Boundary.shp","0.8","2023-03-30","unknown","","","","no","",""
"2023","2308 SWoolley","flma_202212.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\flma_202212\flma_202212.shp","83301.4","2023-01-06","unknown","","","","no","",""
"2023","2308 SWoolley","Soil.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Soil\Soil.shp","42945.5","2023-03-27","unknown","","","","no","",""
"2023","2308 SWoolley","TaxParcels.shp",".shp","vector","Z:\2023\2308 SWoolley\GIS Data\Tax_Parcels\TaxParcels.shp","109995.3","2023-02-16","duediligence","","","","no","",""
"2023","2308 SWoolley","USGS_OPR_FL_Peninsular_2018_D18_DEM248472.tif",".tif","raster","Z:\2023\2308 SWoolley\LIDAR Data\USGS_OPR_FL_Peninsular_2018_D18_DEM248472.tif","17175.5","2023-03-28","unknown","","","","no","",""
"2023","2308 SWoolley","DEM_studyclip.tif",".tif","raster","Z:\2023\2308 SWoolley\Tomahawk Trail Wetland Delineation\DEM_studyclip.tif","771.5","2023-03-31","unknown","","","","no","",""
"2023","2308 SWoolley","Tomahawk Trail Wetland Delineation.aprx",".aprx","arcgis_project","Z:\2023\2308 SWoolley\Tomahawk Trail Wetland Delineation\Tomahawk Trail Wetland Delineation.aprx","626","2023-04-03","wetland","","","","no","",""
