"Year","ProjectFolder","GDB_Name","GDB_Path","ParentFolder","LastModified","Notes"
"2023","2303 DTorres","2301 East Retta Environmental Assessment.gdb","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment\2301 East Retta Environmental Assessment.gdb","Z:\2023\2303 DTorres\2301 East Retta Environmental Assessment","2025-09-25","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2304 JBurkhardt","CG2304 Opsrey Circle.gdb","Z:\2023\2304 JBurkhardt\CG2304 Opsrey Circle\CG2304 Opsrey Circle.gdb","Z:\2023\2304 JBurkhardt\CG2304 Opsrey Circle","2024-02-15","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2306 SMcIntosh","1808 9th Ave Tree Replianting.gdb","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting\1808 9th Ave Tree Replianting.gdb","Z:\2023\2306 SMcIntosh\1808 9th Ave Tree Replianting","2023-06-03","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2308 SWoolley","FL_geodatabase_wetlands.gdb","Z:\2023\2308 SWoolley\GIS Data\FL_geodatabase_wetlands\FL_geodatabase_wetlands.gdb","Z:\2023\2308 SWoolley\GIS Data\FL_geodatabase_wetlands","2023-03-29","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2308 SWoolley","Tomahawk Trail Wetland Delineation.gdb","Z:\2023\2308 SWoolley\Tomahawk Trail Wetland Delineation\Tomahawk Trail Wetland Delineation.gdb","Z:\2023\2308 SWoolley\Tomahawk Trail Wetland Delineation","2023-11-20","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2310 CHaas","Damascus Rd Wetland Delineation.gdb","Z:\2023\2310 CHaas\A_Damascus Rd WD\Damascus Rd Wetland Delineation.gdb","Z:\2023\2310 CHaas\A_Damascus Rd WD","2025-09-25","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2311 Arcadis","c401ad02afae44d3a27c43702f1cac21.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Land_Mobile_Commercial_Transmission_Towers1\c401ad02afae44d3a27c43702f1cac21.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Land_Mobile_Commercial_Transmission_Towers1","2023-07-20","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2311 Arcadis","UrgentCareFacilities.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Urgent_Care_Facilities\UrgentCareFacs\UrgentCareFacilities.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\2023 Homeland Data Downloads\Urgent_Care_Facilities\UrgentCareFacs","2024-07-12","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2311 Arcadis","FL_geodatabase_wetlands.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\NWI\FL_geodatabase_wetlands\FL_geodatabase_wetlands.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_1GIS Fed\NWI\FL_geodatabase_wetlands","2023-12-13","Run: ogrinfo -al -so on this GDB to list feature classes"
"2023","2311 Arcadis","FloridaFireOccurrenceDatabase.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_2GIS State\FWC\FloridaFireOccurrenceDatabase.gdb","Z:\2023\2311 Arcadis\A_Fort Lauderdale\2_Data Response\_2GIS State\FWC","2023-07-20","Run: ogrinfo -al -so on this GDB to list feature classes"
