"Year","ProjectFolder","FileName","Extension","Category","FullPath","SizeKB","LastModified","CVG_TypeCode","ProjectSlug","PublishPriority","CRS_EPSG","GPKG_Ready","GeoServerLayer","Notes"
"2025","2505 Seebeck WD","Seebeck Wetland.aprx",".aprx","arcgis_project","Z:\2025\2505 Seebeck WD\Seebeck Wetland\Seebeck Wetland.aprx","106.1","2025-03-18","wetland","","","","no","",""
"2025","2507 Seagate Due Diligence","2507 Seagate.aprx",".aprx","arcgis_project","Z:\2025\2507 Seagate Due Diligence\2507 Seagate\2507 Seagate.aprx","240.8","2025-03-13","duediligence","","","","no","",""
"2025","2511A Barnes County Road 3 Wetland Delineation","2511A_BarnesCountyRd_WD.aprx",".aprx","arcgis_project","Z:\2025\2511A Barnes County Road 3 Wetland Delineation\APRX\2511A_BarnesCountyRd_WD\2511A_BarnesCountyRd_WD.aprx","257.5","2025-06-09","wetland","","","","no","",""
"2025","2515A Old New York Rd (Wilton) Wetland Deliniation","2515A Old New York Rd (Wilton) Wetland Deliniation.aprx",".aprx","arcgis_project","Z:\2025\2515A Old New York Rd (Wilton) Wetland Deliniation\2515A Old New York Rd (Wilton) Wetland Deliniation\2515A Old New York Rd (Wilton) Wetland Deliniation.aprx","2305.3","2025-07-16","wetland","","","","no","",""
"2025","2516A Vargas Due Diligence","2516A Vargas Due Diligence.aprx",".aprx","arcgis_project","Z:\2025\2516A Vargas Due Diligence\2516A Vargas Due Diligence\2516A Vargas Due Diligence.aprx","1076.7","2025-07-22","duediligence","","","","no","",""
"2025","2517 Marine Science Center","Display.aprx",".aprx","arcgis_project","Z:\2025\2517 Marine Science Center\A_Educational Display\02_GIS\Display\Display.aprx","5473.5","2026-01-13","unknown","","","","no","",""
"2025","2520 City of Palatka","Baseline_aprx.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Baseline_aprx\Baseline_aprx.aprx","2017.3","2026-01-07","municipal","","","","no","",""
"2025","2520 City of Palatka","Critical Community and Emergency.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Baseline_aprx\Critical Community and Emergency.aprx","1814.7","2026-02-12","municipal","","","","no","",""
"2025","2520 City of Palatka","Critical Infrastructure.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Baseline_aprx\Critical Infrastructure.aprx","1326.1","2026-02-12","municipal","","","","no","",""
"2025","2520 City of Palatka","Natural and Cultural.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Baseline_aprx\Natural and Cultural.aprx","1062.2","2026-02-17","municipal","","","","no","",""
"2025","2520 City of Palatka","Transportation.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Baseline_aprx\Transportation.aprx","1807.8","2026-02-12","municipal","","","","no","",""
"2025","2520 City of Palatka","Elevation.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\4_Baseline\Elevation\Elevation.aprx","174.6","2025-12-18","municipal","","","","no","",""
"2025","2520 City of Palatka","Palatka_VDatum.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\5_Exposure\Palatka_VDatum\Palatka_VDatum.aprx","25.9","2026-03-05","municipal","","","","no","",""
"2025","2520 City of Palatka","Rainfall APRX.aprx",".aprx","arcgis_project","Z:\2025\2520 City of Palatka\A 380 Vulnerability Assessment\5_Exposure\Rainfall Modeling\Rainfall APRX\Rainfall APRX.aprx","47.8","2026-03-19","municipal","","","","no","",""
"2025","2536 _ Wetland Delineation","Aclalde_Wetland_Delineation.aprx",".aprx","arcgis_project","Z:\2025\2536 _ Wetland Delineation\A_Aclade Wetland Delineation\2_GIS\Aclalde_Wetland_Delineation\Aclalde_Wetland_Delineation.aprx","652.4","2025-12-15","wetland","","","","no","",""
"2025","2539 JMcVey","Due Diligence Mapping.aprx",".aprx","arcgis_project","Z:\2025\2539 JMcVey\Volusia_SFH_Woodshop_Env_Stewardship_DD\Due Diligence Mapping.aprx","205.9","2026-02-02","duediligence","","","","no","",""
"2025","2540 ACastaneda_CJR Concrete Inc","SubjectParcel.aprx",".aprx","arcgis_project","Z:\2025\2540 ACastaneda_CJR Concrete Inc\A_BiologicalReview_Deland\SubjectParcel.aprx","79.8","2026-02-27","duediligence","","","","no","",""
"2025","2N02LF~7","2518AFarmton.aprx",".aprx","arcgis_project","Z:\2025\2N02LF~7\2518AFarmton\2518AFarmton.aprx","178.2","2025-08-13","unknown","","","","no","",""
